﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
Combat_ BTWolfPack_Head.MediumWounds[2].CombatLog.LogText,You pierced {0} in the nose. It whimpers in pain!,{0}の鼻を刺した。痛そうに鳴いている。
Combat_ BTWolfPack_Head.MediumWounds[3].CombatLog.LogText,"You pierced {0} in the face, causing an ugly wound.",{0}の頭を刺した。ひどい傷を与えた。
Combat_ BTWolfPack_Head.MediumWounds[4].CombatLog.LogText,You slashed {0}'s nose. It whimpers in pain!,{0}の鼻に強力な斬撃を放った。痛そうに鳴いている。
Combat_ BTWolfPack_Head.MediumWounds[5].CombatLog.LogText,You wounded {0}'s head. It whimpers in pain!,{0}の頭に傷を与えた。痛そうに鳴いている！
Combat_ BTWolfPack_Head.SeriousWounds[0].CombatLog.LogText,"You cracked {0}'s skull, it looks completely stunned.",{0}の頭蓋骨を割った。くらくらしてるみたいだ。
Combat_ BTWolfPack_Head.SeriousWounds[1].CombatLog.LogText,You pierced one of {0}'s eyes!,{0}の片目を刺した！
Combat_ BTWolfPack_Head.SeriousWounds[2].CombatLog.LogText,You slashed a deep cut across {0}'s face.,{0}の顔に深い切り傷がついた！
Combat_ BTWolfPack_Head.SeriousWounds[3].CombatLog.LogText,"You pierced its brain, {0} is dead!",{0}は死んだ！脳を刺したみたいだ。
Combat_ BTWolfPack_Head.SeriousWounds[4].CombatLog.LogText,You inflict a serious wound on {0}'s head!,{0}の頭に重症を与えた。
Combat_ BTWolfPack_Torso.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolfPack_Torso.MinorWounds[0].CombatLog.LogText,"You were able to hurt {0}, but only superficially.",{0}に傷を与えることはできたが軽いケガ程度だ。
Combat_ BTWolfPack_Torso.MediumWounds[0].CombatLog.LogText,You struck {0} hard in the torso.,{0}の胴体に強力な一撃を放った。
Combat_ BTWolfPack_Torso.MediumWounds[1].CombatLog.LogText,You opened a wound on {0}'s torso.,{0}の胴体に大きな傷を与えた。
Combat_ BTWolfPack_Torso.SeriousWounds[0].CombatLog.LogText,You struck {0} so hard you felt something crack inside!,{0}に強力な一撃を放った。何かが割れる音がした。
Combat_ BTWolfPack_Torso.SeriousWounds[1].CombatLog.LogText,You opened a deep wound on {0}'s torso. It's bleeding profusely!,{0}に傷を与えることはできたが軽いケガ程度だ。
Combat_ BTWolfPack_LArm.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolfPack_LArm.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolfPack_LArm.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolfPack_LArm.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_ BTWolfPack_RArm.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolfPack_RArm.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolfPack_RArm.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolfPack_RArm.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_ BTWolfPack_LLeg.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolfPack_LLeg.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolfPack_LLeg.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolfPack_LLeg.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_ BTWolfPack_RLeg.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolfPack_RLeg.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolfPack_RLeg.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolfPack_RLeg.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_ BTWolf_F_Head.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolf_F_Head.MinorWounds[0].CombatLog.LogText,"You were able to hurt {0}, but only superficially.",{0}に傷を与えることはできたが軽いケガ程度だ。
Combat_ BTWolf_F_Head.MediumWounds[0].CombatLog.LogText,"You landed a solid hit on {0}'s head, it looks a bit dazzled.",{0}の頭に一撃を放った。くらくらしてるみたいだ。
Combat_ BTWolf_F_Head.MediumWounds[1].CombatLog.LogText,You hit {0} hard on the nose. It whimpers in pain!,{0}の鼻に強力な一撃ぶつけた。痛そうに鳴いている。
Combat_ BTWolf_F_Head.MediumWounds[2].CombatLog.LogText,You pierced {0} in the nose. It whimpers in pain!,{0}の鼻を刺した。痛そうに鳴いている。
Combat_ BTWolf_F_Head.MediumWounds[3].CombatLog.LogText,"You pierced {0} in the face, causing an ugly wound.",{0}の頭を刺した。ひどい傷を与えた。
Combat_ BTWolf_F_Head.MediumWounds[4].CombatLog.LogText,You slashed {0}'s nose. It whimpers in pain!,{0}の鼻に強力な斬撃を放った。痛そうに鳴いている。
Combat_ BTWolf_F_Head.MediumWounds[5].CombatLog.LogText,You wounded {0}'s head. It whimpers in pain!,{0}の頭に傷を与えた。痛そうに鳴いている！
Combat_ BTWolf_F_Head.SeriousWounds[0].CombatLog.LogText,"You cracked {0}'s skull, it looks completely stunned.",{0}の頭蓋骨を割った。くらくらしてるみたいだ。
Combat_ BTWolf_F_Head.SeriousWounds[1].CombatLog.LogText,You pierced one of {0}'s eyes!,{0}の片目を刺した！
Combat_ BTWolf_F_Head.SeriousWounds[2].CombatLog.LogText,You slashed a deep cut across {0}'s face.,{0}の顔に深い切り傷がついた！
Combat_ BTWolf_F_Head.SeriousWounds[3].CombatLog.LogText,"You pierced its brain, {0} is dead!",{0}は死んだ！脳を刺したみたいだ。
Combat_ BTWolf_F_Head.SeriousWounds[4].CombatLog.LogText,You inflict a serious wound on {0}'s head!,{0}の頭に重症を与えた。
Combat_ BTWolf_F_Torso.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolf_F_Torso.MinorWounds[0].CombatLog.LogText,"You were able to hurt {0}, but only superficially.",{0}に傷を与えることはできたが軽いケガ程度だ。
Combat_ BTWolf_F_Torso.MediumWounds[0].CombatLog.LogText,You struck {0} hard in the torso.,{0}の胴体に強力な一撃を放った。
Combat_ BTWolf_F_Torso.MediumWounds[1].CombatLog.LogText,You opened a wound on {0}'s torso.,{0}の胴体に大きな傷を与えた。
Combat_ BTWolf_F_Torso.SeriousWounds[0].CombatLog.LogText,You struck {0} so hard you felt something crack inside!,{0}に強力な一撃を与えて、何かが割れる音がした。
Combat_ BTWolf_F_Torso.SeriousWounds[1].CombatLog.LogText,You opened a deep wound on {0}'s torso. It's bleeding profusely!,{0}の胴体に深い傷を与えた。大量に出血してる！
Combat_ BTWolf_F_LArm.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolf_F_LArm.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolf_F_LArm.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolf_F_LArm.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_ BTWolf_F_RArm.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolf_F_RArm.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolf_F_RArm.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolf_F_RArm.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_ BTWolf_F_LLeg.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolf_F_LLeg.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolf_F_LLeg.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolf_F_LLeg.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_ BTWolf_F_RLeg.UnharmedResults[0].CombatLog.LogText,"Unfortunately, you didn't manage to harm {0}.",残念ながら{0}に傷を与えることすらできなかった。
Combat_ BTWolf_F_RLeg.MinorWounds[0].CombatLog.LogText,You were able to graze one of {0}'s legs.,{0}の片脚に軽い切り傷を与えられた。
Combat_ BTWolf_F_RLeg.MediumWounds[0].CombatLog.LogText,You managed to hurt one of {0}'s legs.,{0}の片脚に傷を与えることができた。
Combat_ BTWolf_F_RLeg.SeriousWounds[0].CombatLog.LogText,You seriously damaged one of {0}'s legs!,{0}の片脚に重症を負わせた。
Combat_EncounterBadger_EncounterTitle,Badger Encounter,アナグマ遭遇
Combat_EncounterBadger_EnemyName,the badger,アナグマ
Combat_EncounterBadger_EnemyActions[0].ActionLog.LogText,The badger hisses at you.,アナグマが威嚇してきた。
Combat_EncounterBadger_EnemyActions[0].SuccessLog.LogText,The hiss intimidates you...,威嚇が効いてる・・・
Combat_EncounterBadger_EnemyActions[1].ActionLog.LogText,The badger tries to bite you!,アナグマが噛んできた！
Combat_EncounterBadger_EnemyActions[1].SuccessLog.LogText,You fail to dodge its bite...,避けられなかった・・・
Combat_EncounterBadger_EnemyActions[1].FailureLog.LogText,You successfully dodge the bite...,なんとか避けた・・・
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",全く痛くなかった。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MinorWounds[0].WoundLog.LogText,The bite didn't draw blood but you'll get a nasty bruise,血を流すほどではないがアザになりそう。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got a bad bite mark from the attack!,噛まれた跡が残ってる！
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MinorWounds[2].WoundLog.LogText,The bite gave you a small laceration.,噛まれたところが少し切れてる。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MinorWounds[3].WoundLog.LogText,You got an abrasion from the bite!,噛まれたところに擦り傷ができてる。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MediumWounds[0].WoundLog.LogText,The bite didn't draw blood but you'll get a nasty bruise,血を流すほどではないがアザになりそう。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MediumWounds[1].WoundLog.LogText,You got a bad bite mark from the attack!,噛まれた跡が残ってる！
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MediumWounds[2].WoundLog.LogText,The bite gave you a small laceration.,噛まれたところが少し切れてる。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.MediumWounds[3].WoundLog.LogText,You got an abrasion from the bite!,噛まれたところに擦り傷ができてる。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.SeriousWounds[0].WoundLog.LogText,The bite didn't draw blood but you'll get a nasty bruise,血を流すほどではないがアザになりそう。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a bad bite mark from the attack!,噛まれた跡が残ってる！
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.SeriousWounds[2].WoundLog.LogText,The bite gave you a small laceration.,噛まれたところが少し切れてる。
Combat_EncounterBadger_EnemyActions[1].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got an abrasion from the bite!,噛まれたところに擦り傷ができてる。
Combat_EncounterBadger_EnemyActions[2].ActionLog.LogText,The badger tries to claw you!,アナグマが引っ搔いてきた！
Combat_EncounterBadger_EnemyActions[2].SuccessLog.LogText,You fail to evade his claws...,避けきれなかった・・・
Combat_EncounterBadger_EnemyActions[2].FailureLog.LogText,You successfully dodge the clawing attack...,なんとか引っ掻きの攻撃を避けた・・・
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",全く痛くなかった。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MinorWounds[0].WoundLog.LogText,The claws didn't draw blood but you'll get a nasty bruise.,血を流すほどではないがアザになりそう。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got some claw marks from the hit.,引っ掻かれた跡が残ってる。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MinorWounds[2].WoundLog.LogText,You got a small cut from the claws.,爪が当たって少し切れてる。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MinorWounds[3].WoundLog.LogText,You got a painful abrasion from the badger's claws.,アナグマの爪のせいで擦り傷ができた。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MediumWounds[0].WoundLog.LogText,The claws didn't draw blood but you'll get a nasty bruise.,血を流すほどではないがアザになりそう。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MediumWounds[1].WoundLog.LogText,You got some claw marks from the hit.,引っ掻かれた跡が残ってる。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MediumWounds[2].WoundLog.LogText,You got a small cut from the claws.,爪が当たって少し切れてる。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.MediumWounds[3].WoundLog.LogText,You got a painful abrasion from the badger's claws.,アナグマの爪のせいで擦り傷ができた。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.SeriousWounds[0].WoundLog.LogText,The claws didn't draw blood but you'll get a nasty bruise.,血を流すほどではないがアザになりそう。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got some claw marks from the hit.,引っ掻かれた跡が残ってる。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a small cut from the claws.,爪が当たって少し切れてる。
Combat_EncounterBadger_EnemyActions[2].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a painful abrasion from the badger's claws.,アナグマの爪のせいで擦り傷ができた。
Combat_EncounterBadger_EnemyActions[3].ActionLog.LogText,The badger hisses at you.,アナグマが威嚇してきた。
Combat_EncounterBadger_EnemyActions[3].SuccessLog.LogText,The hiss intimidates you...,威嚇が効いてる・・・
Combat_EncounterBadger_EnemyGettingCloseLog.LogText,The badger charges at you!,アナグマが突進してきた！
Combat_EncounterBadger_EnemyDefeatedEffects.ResultLog.LogText,The badger collapses on the floor.,アナグマが倒れた。
Combat_EncounterBadger_EnemyEscapedEffects.ResultLog.LogText,The badger runs away.,アナグマが逃げた
Combat_EncounterBadger_PlayerEscapedEffects.ResultLog.LogText,You disengage and escape from the badger...,アナグマから離れ、逃げることができた・・・
Combat_EncounterBadger_PlayerDemoralizedEffects.ResultLog.LogText,You run away from the badger...,アナグマのところから逃げた・・・
Combat_EncounterBoar_EncounterTitle,Boar,イノシシ
Combat_EncounterBoar_EnemyName,the boar,イノシシ
Combat_EncounterBoar_EnemyActions[0].ActionLog.LogText,The boar swings its head violently at you!,イノシシが乱暴に攻撃してきた！
Combat_EncounterBoar_EnemyActions[0].SuccessLog.LogText,You fail to dodge the attack...,避けきれなかった・・・
Combat_EncounterBoar_EnemyActions[0].FailureLog.LogText,You successfully get out of the way...,何とか避けた・・・
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",全く痛くなかった。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a nasty bruise.,ひどいアザができた。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.MinorWounds[1].WoundLog.LogText,"Your skin was pierced, causing a minor laceration.",皮膚に刺さり、軽い切り傷ができた。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.MediumWounds[0].WoundLog.LogText,Your left arm was hit and is now throbbing in pain.,左腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.MediumWounds[1].WoundLog.LogText,Your right arm was hit and is now throbbing in pain.,右腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.MediumWounds[2].WoundLog.LogText,Your left leg was hit and is now throbbing in pain.,左脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.MediumWounds[3].WoundLog.LogText,Your right leg was hit and is now throbbing in pain.,右脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.MediumWounds[4].WoundLog.LogText,You got a pretty ugly bite.,噛まれた跡がひどい。
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[0].WoundLog.LogText,You got a deep laceration on your left leg!,左脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a deep laceration on your right leg!,右脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a deep laceration on your left arm!,左腕に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a deep laceration on your right arm!,右腕に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You got many lacerations!,切り傷だらけだ！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[5].WoundLog.LogText,Your left arm is broken! It hurts!,左腕が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[6].WoundLog.LogText,Your right arm is broken! It hurts!,右腕が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[7].WoundLog.LogText,Your left leg is broken! It hurts!,左脚が折れた！痛い！
Combat_EncounterBoar_EnemyActions[0].PlayerWounds.SeriousWounds[8].WoundLog.LogText,Your right leg is broken! It hurts!,右脚が折れた！痛い！
Combat_EncounterBoar_EnemyActions[1].ActionLog.LogText,The boar tries to knock you down!,イノシシが倒そうとしてきた。
Combat_EncounterBoar_EnemyActions[1].SuccessLog.LogText,You lose your balance and land on your back!,バランスが崩れてしまい、倒れた。
Combat_EncounterBoar_EnemyActions[1].FailureLog.LogText,You successfully get out of the way...,何とか避けた・・・
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",全く痛くなかった。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a nasty bruise.,ひどいアザができた。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.MinorWounds[1].WoundLog.LogText,"Your skin was pierced, causing a minor laceration.",皮膚に刺さり、軽い切り傷ができた。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.MediumWounds[0].WoundLog.LogText,Your left arm was hit and is now throbbing in pain.,左腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.MediumWounds[1].WoundLog.LogText,Your right arm was hit and is now throbbing in pain.,右腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.MediumWounds[2].WoundLog.LogText,Your left leg was hit and is now throbbing in pain.,左脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.MediumWounds[3].WoundLog.LogText,Your right leg was hit and is now throbbing in pain.,右脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.MediumWounds[4].WoundLog.LogText,You got a pretty ugly bite.,噛まれた跡がひどい。
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[0].WoundLog.LogText,You got a deep laceration on your left leg!,左脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a deep laceration on your right leg!,右脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a deep laceration on your left arm!,左腕に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a deep laceration on your right arm!,右腕に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You got many lacerations!,切り傷だらけだ！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[5].WoundLog.LogText,Your left arm is broken! It hurts!,左腕が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[6].WoundLog.LogText,Your right arm is broken! It hurts!,右腕が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[7].WoundLog.LogText,Your left leg is broken! It hurts!,左脚が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[1].PlayerWounds.SeriousWounds[8].WoundLog.LogText,Your right leg is broken! It hurts!,右脚が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[2].ActionLog.LogText,The boar rams into you at full speed!,イノシシが全力で突進してきた！
Combat_EncounterBoar_EnemyActions[2].SuccessLog.LogText,You lose your balance and land on your back!,バランスが崩れてしまい、倒れた。
Combat_EncounterBoar_EnemyActions[2].FailureLog.LogText,You successfully get out of the way...,何とか避けた・・・
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",全く痛くなかった。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a nasty bruise.,ひどいアザができた。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.MinorWounds[1].WoundLog.LogText,"Your skin was pierced, causing a minor laceration.",皮膚に刺さり、軽い切り傷ができた。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.MediumWounds[0].WoundLog.LogText,Your left arm was hit and is now throbbing in pain.,左腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.MediumWounds[1].WoundLog.LogText,Your right arm was hit and is now throbbing in pain.,右腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.MediumWounds[2].WoundLog.LogText,Your left leg was hit and is now throbbing in pain.,左脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.MediumWounds[3].WoundLog.LogText,Your right leg was hit and is now throbbing in pain.,右脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.MediumWounds[4].WoundLog.LogText,You got a pretty ugly bite.,噛まれた跡がひどい。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[0].WoundLog.LogText,You got a deep laceration on your left leg!,左脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a deep laceration on your right leg!,右脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a deep laceration on your left arm!,左腕に深い切り傷ができた。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a deep laceration on your right arm!,右腕に深い切り傷ができた。
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You got many lacerations!,切り傷だらけだ！
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[5].WoundLog.LogText,Your left arm is broken! It hurts!,左腕が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[6].WoundLog.LogText,Your right arm is broken! It hurts!,右腕が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[7].WoundLog.LogText,Your left leg is broken! It hurts!,左脚が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[2].PlayerWounds.SeriousWounds[8].WoundLog.LogText,Your right leg is broken! It hurts!,右脚が折れた！かなり痛い！
Combat_EncounterBoar_EnemyActions[3].ActionLog.LogText,The boar tries to gut you with its tusks!,イノシシが牙で殺そうとしてる！
Combat_EncounterBoar_EnemyActions[3].SuccessLog.LogText,You fail to avoid the attack...,避けられなかった・・・
Combat_EncounterBoar_EnemyActions[3].FailureLog.LogText,You successfully get out of the way...,何とか避けた・・・
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.UnharmedResults[0].WoundLog.LogText,"Fortunately, the attack wasn't enough to hurt you.",全く痛くなかった。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.MinorWounds[0].WoundLog.LogText,You got a nasty bruise.,ひどいアザができた。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.MinorWounds[1].WoundLog.LogText,"Your skin was pierced, causing a minor laceration.",皮膚に刺さり、軽い切り傷ができた。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.MediumWounds[0].WoundLog.LogText,Your left arm was hit and is now throbbing in pain.,左腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.MediumWounds[1].WoundLog.LogText,Your right arm was hit and is now throbbing in pain.,右腕が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.MediumWounds[2].WoundLog.LogText,Your left leg was hit and is now throbbing in pain.,左脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.MediumWounds[3].WoundLog.LogText,Your right leg was hit and is now throbbing in pain.,右脚が当たってとんでもなく痛い。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.MediumWounds[4].WoundLog.LogText,You got a pretty ugly bite.,噛まれた跡がひどい。
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.SeriousWounds[0].WoundLog.LogText,You got a deep laceration on your left leg!,左脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.SeriousWounds[1].WoundLog.LogText,You got a deep laceration on your right leg!,右脚に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.SeriousWounds[2].WoundLog.LogText,You got a deep laceration on your left arm!,左腕に深い切り傷ができた！
Combat_EncounterBoar_EnemyActions[3].PlayerWounds.SeriousWounds[3].WoundLog.LogText,You got a deep laceration on your right arm!,右腕に深い切り傷ができた！
