﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},Чрезвычайно {0}
AppleweedFresh_UsageDurability.CardStatName,Drying,Сушка
AppleweedFresh_UsageDurability.OnFull.ActionDescription,Appleweed dried!,Яблочный Лист высушен!
AppleweedFresh_Progress.CardStatName,Growth,Рост
AppleweedFresh_SpecialDurability1.CardStatName,Burn,Сжечь
AppleweedFresh_SpecialDurability2.CardStatName,Quality,Качество
AppleweedFresh_CardInteractions[0].ActionName,Soak,Замачивание
BillberriesFermenting_CardName,Fermenting Billberries,Ферментация Черники
BillberriesFermenting_UsageDurability.CardStatName,Drying,Сушка
BillberriesFermenting_UsageDurability.OnFull.ActionDescription,Billberries dried!,Черника высушена!
BillberriesFermenting_FuelCapacity.CardStatName,Temperature,Температура
BillberriesFermenting_SpecialDurability1.CardStatName,Cook,Готовить
BillberriesFermenting_SpecialDurability2.CardStatName,Quality,Качество
BillberriesFermenting_SpecialDurability3.CardStatName,Fermenting,Ферментация
BillberriesFermenting_SpecialDurability3.OnFull.ActionDescription,Billberries fermented!,Черника ферментирована!
BillberriesFermenting_DismantleActions[0].ActionName,Eat,Съесть
BillberriesFresh_CardName,Billberries,Черника
BillberriesFresh_CardDescription,"Tasty and nutritious berries.\n\nCan be dried or fermented to last longer, or ground into a pulp and fermented into wine.","Вкусные и питательные ягоды.\n\nМогут быть высушены или ферментированы для длительного хранения, или измельчены в пюре и ферментированы в вино."
BillberriesFresh_UsageDurability.CardStatName,Drying,Сушка
BillberriesFresh_UsageDurability.OnFull.ActionDescription,Billberries dried!,Черника высушена!
BillberriesFresh_FuelCapacity.CardStatName,Temperature,Температура
BillberriesFresh_Progress.CardStatName,Growth,Рост
BillberriesFresh_SpecialDurability1.CardStatName,Cook,Готовить
BillberriesFresh_SpecialDurability2.CardStatName,Quality,Качество
BillberriesFresh_SpecialDurability3.CardStatName,Mill,Мельница
BillberriesFresh_DismantleActions[0].ActionName,Eat,Есть
BirdMeatRaw_CardName,Bird Meat,Птичье Мясо
BirdMeatRaw_CardDescription,Nutritious.\n\nCan be cooked or dried to last longer.,"Питательное.\n\nМожно приготовить или высушить, чтобы дольше сохранялось."
BirdMeatRaw_UsageDurability.CardStatName,Drying,Сушка
BirdMeatRaw_UsageDurability.OnFull.ActionDescription,Bird Meat dried!,Птичье Мясо высушено!
BirdMeatRaw_FuelCapacity.CardStatName,Temperature,Температура
BirdMeatRaw_SpecialDurability1.CardStatName,Cook,Готовить
BirdMeatRaw_SpecialDurability2.CardStatName,Quality,Качество
BirdMeatRaw_SpecialDurability4.CardStatName,Boil,Кипятить
BirdMeatRaw_DismantleActions[0].ActionName,Eat,Есть
EggChickenRaw_CardName,Chicken Egg,Куриное Яйцо
EggChickenRaw_CardDescription,"Edible, would taste better cooked.","Съедобное, будет вкуснее в приготовленном виде."
EggChickenRaw_UsageDurability.CardStatName,Freshness,Свежесть
EggChickenRaw_FuelCapacity.CardStatName,Fertile,Плодородное
EggChickenRaw_Progress.CardStatName,Hatch Progress,Прогресс Высиживания
EggChickenRaw_SpecialDurability1.CardStatName,Cook,Готовить
EggChickenRaw_SpecialDurability2.CardStatName,Quality,Качество
EggChickenRaw_DismantleActions[0].ActionName,Eat,Есть
EggPartridgeRaw_CardName,Partridge Egg,Яйцо Куропатки
EggPartridgeRaw_CardDescription,Edible and nutritious.,Съедобное и питательное.
EggPartridgeRaw_UsageDurability.CardStatName,Freshness,Свежесть
EggPartridgeRaw_FuelCapacity.CardStatName,Fertile,Плодородное
EggPartridgeRaw_Progress.CardStatName,Hatch Progress,Прогресс Высиживания
EggPartridgeRaw_SpecialDurability1.CardStatName,Cook,Готовить
EggPartridgeRaw_SpecialDurability2.CardStatName,Quality,Качество
EggPartridgeRaw_SpecialDurability3.CardStatName,Chicken Transform - Durability Increased by Chicken Nest Box to turn it into a Chicken,"Курица Превращение - Прочность Увеличена с помощью Куриного Гнезда, чтобы превратить в Курицу"
EggPartridgeRaw_DismantleActions[0].ActionName,Eat,Есть
FairyweedFresh_CardName,Fresh Fairyweed,Свежий Фейритрав
FairyweedFresh_CardDescription,"Lowers fever, pain, stress and wakefulness, while slightly altering your mind state.\n\nCan be dried to enhance its effects.","Снижает жар, боль, стресс и бодрствование, слегка изменяя состояние ума.\n\nМожно высушить, чтобы усилить его эффекты."
FairyweedFresh_CardHelpSection,"<b>Found:</b> Oaken Groves.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Analgesic, Antipyretic, Sedative, Anxiolytic, Psychoactive.","<b>Найдено:</b> Дубовые Рощи.\n\n<b>Требования к росту:</b> Средняя Кислотность, Средняя Гидратация, Среднее до Высокого Питание.\n\n<b>Преимущества:</b> Обезболивающее, Жаропонижающее, Седативное, Анксиолитическое, Психоактивное."
FairyweedFresh_UsageDurability.CardStatName,Drying,Сушка
FairyweedFresh_UsageDurability.OnFull.ActionDescription,Fairyweed dried!,Фейритрав высушен!
FairyweedFresh_Progress.CardStatName,Growth,Рост
FairyweedFresh_SpecialDurability1.CardStatName,Burn,Сжечь
FairyweedFresh_SpecialDurability2.CardStatName,Quality,Качество
FairyweedFresh_CardInteractions[0].ActionName,Soak,Замочить
FirerootCutFresh_CardName,Cut Fireroot,Нарезать Огнекорень
FirerootCutFresh_CardDescription,"Increases body temperature, boosts immune system, stamina and alertness. Slightly toxic.\n\nCan be dried to enhance its effects.","Повышает температуру тела, укрепляет иммунную систему, выносливость и бдительность. Слегка токсичен.\n\nМожно высушить, чтобы усилить его эффекты."
FirerootCutFresh_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Найдено:</b> Менее Гидратированные Области.\n\n<b>Требования к росту:</b> Средняя Кислотность, Низкая до Средней Гидратация, Среднее до Высокого Питание.\n\n<b>Преимущества:</b> Усилитель Блюда, Усилитель Иммунной Системы, Стимулятор, Повышает Температуру Тела, вызывает Трезвость, Раздражитель Желудочно-кишечного Тракта, Инсектицид."
FirerootCutFresh_UsageDurability.CardStatName,Drying,Сушка
FirerootCutFresh_UsageDurability.OnFull.ActionDescription,Fireroot dried!,Огнекорень высушен!
FirerootCutFresh_FuelCapacity.CardStatName,Temperature,Температура
FirerootCutFresh_SpecialDurability1.CardStatName,Cook,Готовить
FirerootCutFresh_SpecialDurability2.CardStatName,Quality,Качество
FirerootCutFresh_SpecialDurability4.CardStatName,Boil,Кипятить
FirerootCutFresh_CardInteractions[0].ActionName,Soak,Замочить
FirerootCutFresh_DismantleActions[0].ActionName,Eat,Есть
FishMeatRaw_CardName,Raw Fish Meat,Сырое Рыбное Мясо
FishMeatRaw_CardDescription,Nutritious.\n\nCan be cooked or dried to last longer.,"Питательное.\n\nМожно приготовить или высушить, чтобы дольше сохранялось."
FishMeatRaw_UsageDurability.CardStatName,Drying,Сушка
FishMeatRaw_UsageDurability.OnFull.ActionDescription,Fish Meat dried!,Рыбное Мясо высушено!
FishMeatRaw_FuelCapacity.CardStatName,Temperature,Температура
FishMeatRaw_SpecialDurability1.CardStatName,Cook,Готовить
FishMeatRaw_SpecialDurability2.CardStatName,Quality,Качество
FishMeatRaw_SpecialDurability4.CardStatName,Boil,Варить
FishMeatRaw_DismantleActions[0].ActionName,Eat,Есть
ForestCapsFresh_CardName,Forest Caps,Лесные Шляпки
ForestCapsFresh_CardDescription,"Edible mushroom, can be dried to last longer.","Съедобный гриб, можно сушить, чтобы дольше сохранялся."
ForestCapsFresh_CardHelpSection,"<b>Found:</b> Humid and dark areas.\n\n<b>Growth Needs:</b> High Acidity, Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Найдено:</b> Влажные и темные места.\n\n<b>Требования для роста:</b> Высокая кислотность, увлажнение и питательные вещества.\n\n<b>Польза:</b> Основная еда, источник витаминов."
ForestCapsFresh_UsageDurability.CardStatName,Drying,Сушка
ForestCapsFresh_UsageDurability.OnFull.ActionDescription,Forest Caps dried!,Лесные Шляпки высушены!
ForestCapsFresh_FuelCapacity.CardStatName,Temperature,Температура
ForestCapsFresh_Progress.CardStatName,Growth,Рост
ForestCapsFresh_SpecialDurability1.CardStatName,Cook,Готовить
ForestCapsFresh_SpecialDurability2.CardStatName,Quality,Качество
ForestCapsFresh_SpecialDurability4.CardStatName,Boil,Варить
ForestCapsFresh_DismantleActions[0].ActionName,Eat,Есть
FrostleafFresh_CardName,Frostleaf,Хладолист
FrostleafFresh_CardDescription,Has a cool refreshing aroma. Alleviates inflamation and provides a mild numbing effect against pain and headaches.\n\nCan be dried to enhance its effects.,Имеет прохладный освежающий аромат. Облегчает воспаление и обеспечивает легкий обезболивающий эффект против боли и головных болей.\n\nМожно сушить для усиления эффектов.
FrostleafFresh_CardHelpSection,"<b>Found:</b> Near rivers.\n\n<b>Growth Needs:</b> Low Acidity, Mid to High Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enchancer, Vitamin Source, Analgesic, Anxiolytic, Antiemetic, Anti-inflammatory.","<b>Найдено:</b> Возле рек.\n\n<b>Требования для роста:</b> Низкая кислотность, среднее до высокого увлажнение, средние до высокие питательные вещества.\n\n<b>Польза:</b> Усилитель блюд, источник витаминов, анальгетик, анксиолитик, противорвотное, противовоспалительное."
FrostleafFresh_UsageDurability.CardStatName,Drying,Сушка
FrostleafFresh_UsageDurability.OnFull.ActionDescription,Frostleaf dried!,Хладолист высушен!
FrostleafFresh_Progress.CardStatName,Growth,Рост
FrostleafFresh_SpecialDurability1.CardStatName,Burn,Гореть
FrostleafFresh_SpecialDurability2.CardStatName,Quality,Качество
FrostleafFresh_CardInteractions[0].ActionName,Soak,Замачивать
FrostleafFresh_DismantleActions[0].ActionName,Eat,Есть
MeatRaw_CardName,Meat,Мясо
MeatRaw_CardDescription,Nutritious.\n\nCan be cooked or dried to last longer.,"Питательное.\n\nМожно готовить или сушить, чтобы дольше сохранялось."
MeatRaw_UsageDurability.CardStatName,Drying,Сушка
MeatRaw_UsageDurability.OnFull.ActionDescription,Meat dried!,Мясо высушено!
MeatRaw_FuelCapacity.CardStatName,Temperature,Температура
MeatRaw_SpecialDurability1.CardStatName,Cook,Готовить
MeatRaw_SpecialDurability2.CardStatName,Quality,Качество
MeatRaw_SpecialDurability4.CardStatName,Boil,Варить
MeatRaw_DismantleActions[0].ActionName,Eat,Есть
MinnowRaw_CardName,Minnow,Малек
MinnowRaw_CardDescription,"A small, abundant fish, often used as bait but also edible in large quantities.","Маленькая, обильная рыба, часто используется как наживка, но также съедобна в больших количествах."
MinnowRaw_FuelCapacity.CardStatName,Temperature,Температура
MinnowRaw_SpecialDurability1.CardStatName,Cook,Готовить
MinnowRaw_SpecialDurability2.CardStatName,Quality,Качество
MinnowRaw_DismantleActions[0].ActionName,Eat,Есть
MouseRaw_CardName,Dead Mouse,Мертвая Мышь
MouseRaw_CardDescription,A little dead mouse.,Маленькая мертвая мышь.
MouseRaw_FuelCapacity.CardStatName,Temperature,Температура
MouseRaw_SpecialDurability1.CardStatName,Cook,Готовить
MouseRaw_SpecialDurability2.CardStatName,Quality,Качество
MouseRaw_DismantleActions[0].ActionName,Eat,Есть
PeasFresh_CardName,Fresh Peas,Свежий Горох
PeasFresh_CardDescription,A nutritious food that is long lasting when dry. Perfect for enriching a meal.,"Питательная пища, которая долго хранится в сухом виде. Идеально подходит для обогащения блюда."
PeasFresh_UsageDurability.CardStatName,Drying,Сушка
PeasFresh_UsageDurability.OnFull.ActionDescription,Peas dried!,Горох высушен!
PeasFresh_FuelCapacity.CardStatName,Temperature,Температура
PeasFresh_SpecialDurability1.CardStatName,Cook,Готовить
PeasFresh_SpecialDurability2.CardStatName,Quality,Качество
PeasFresh_DismantleActions[0].ActionName,Eat,Есть
RyeDoughRaw_CardName,Rye Dough,Ржаное Тесто
RyeDoughRaw_CardDescription,Can cook it in a fire or oven to make flatbread or ferment it into sourdough. Can also knead it to increase its quality and mix it with sourdough.,"Можно приготовить на огне или в печи, чтобы сделать лепешку, или ферментировать в закваску. Также можно замесить, чтобы улучшить качество, и смешать с закваской."
RyeDoughRaw_FuelCapacity.CardStatName,Temperature,Температура
RyeDoughRaw_SpecialDurability1.CardStatName,Cook,Готовить
RyeDoughRaw_SpecialDurability2.CardStatName,Quality,Качество
RyeDoughRaw_DismantleActions[0].ActionName,Knead,Замесить
SpringberriesFermenting_CardName,Fermenting Springberries,Ферментация Весенних Ягод
SpringberriesFermenting_UsageDurability.CardStatName,Drying,Сушка
SpringberriesFermenting_UsageDurability.OnFull.ActionDescription,Springberries dried!,Весенние Ягоды высушены!
SpringberriesFermenting_FuelCapacity.CardStatName,Temperature,Температура
SpringberriesFermenting_SpecialDurability1.CardStatName,Cook,Готовить
SpringberriesFermenting_SpecialDurability2.CardStatName,Quality,Качество
SpringberriesFermenting_SpecialDurability3.CardStatName,Fermenting,Ферментация
SpringberriesFermenting_SpecialDurability3.OnFull.ActionDescription,Springberries fermented!,Весенние Ягоды ферментированы!
SpringberriesFermenting_DismantleActions[0].ActionName,Eat,Есть
SpringberriesFresh_CardName,Springberries,Весенние Ягоды
SpringberriesFresh_CardDescription,"Tasty and nutritious berries.\n\nCan be dried or fermented to last longer, or ground into a pulp and fermented into wine.","Вкусные и питательные ягоды.\n\nМожно сушить или ферментировать, чтобы дольше хранить, или измельчить в пюре и ферментировать в вино."
SpringberriesFresh_UsageDurability.CardStatName,Drying,Сушка
SpringberriesFresh_UsageDurability.OnFull.ActionDescription,Springberries dried!,Весенние Ягоды высушены!
SpringberriesFresh_FuelCapacity.CardStatName,Temperature,Температура
SpringberriesFresh_Progress.CardStatName,Growth,Рост
SpringberriesFresh_SpecialDurability1.CardStatName,Cook,Готовить
SpringberriesFresh_SpecialDurability2.CardStatName,Quality,Качество
SpringberriesFresh_SpecialDurability3.CardStatName,Mill,Мельница
SpringberriesFresh_DismantleActions[0].ActionName,Eat,Есть
SquirrelRaw_CardName,Dead Squirrel,Мёртвая Белка
SquirrelRaw_CardDescription,A little dead squirrel.,Маленькая мёртвая белка.
SquirrelRaw_FuelCapacity.CardStatName,Temperature,Температура
SquirrelRaw_SpecialDurability1.CardStatName,Cook,Готовить
SquirrelRaw_SpecialDurability2.CardStatName,Quality,Качество
SquirrelRaw_DismantleActions[0].ActionName,Eat,Есть
TurnrootFresh_CardName,Turnroot,Репа
TurnrootFresh_CardDescription,Edible root with versatile culinary uses. \n\nCan be dried to last longer.,"Съедобный корень с разнообразными кулинарными применениями. \n\nМожно сушить, чтобы дольше хранить."
TurnrootFresh_CardHelpSection,"<b>Found:</b> Oak clearings and rivers, especially during spring and autumn.\n\n<b>Growth Needs:</b> Low to Mid Acidity, Mid Hydration and Nutrients.\n\n<b>Benefits:</b> Staple Food, Vitamin Source.","<b>Найдено:</b> Дубовые поляны и реки, особенно весной и осенью.\n\n<b>Требования к росту:</b> Низкая до средней кислотность, средняя гидратация и питательные вещества.\n\n<b>Преимущества:</b> Основная Пища, Источник Витаминов."
TurnrootFresh_UsageDurability.CardStatName,Drying,Сушка
TurnrootFresh_UsageDurability.OnFull.ActionDescription,Turnroot dried!,Репа высушена!
TurnrootFresh_FuelCapacity.CardStatName,Temperature,Температура
TurnrootFresh_Progress.CardStatName,Growth,Рост
TurnrootFresh_SpecialDurability1.CardStatName,Cook,Готовить
TurnrootFresh_SpecialDurability2.CardStatName,Quality,Качество
TurnrootFresh_SpecialDurability4.CardStatName,Boil,Варить
TurnrootFresh_DismantleActions[0].ActionName,Eat,Есть
WildGarlicFresh_CardName,Wild Garlic,Дикий Чеснок
WildGarlicFresh_CardDescription,"Edible plant with an intense flavour. Great for enhancing meals.\n\nCan be dried to last longer, intensify its flavour and be used as a spice.","Съедобное растение с интенсивным вкусом. Отлично подходит для улучшения блюд.\n\nМожно высушить, чтобы дольше хранить, усилить вкус и использовать как специю."
WildGarlicFresh_CardHelpSection,"<b>Found:</b> Near rivers, during Spring and Summer.\n\n<b>Growth Needs:</b> Low Acidity, High Hydration, Medium to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Vitamin Source, Immune System Booster, Fungicide when mixed with water.","<b>Найдено:</b> У рек, весной и летом.\n\n<b>Требования к росту:</b> Низкая кислотность, высокая влажность, среднее до высокого содержание питательных веществ.\n\n<b>Преимущества:</b> Улучшитель блюд, источник витаминов, усилитель иммунной системы, фунгицид при смешивании с водой."
WildGarlicFresh_UsageDurability.CardStatName,Drying,Сушка
WildGarlicFresh_UsageDurability.OnFull.ActionDescription,Garlic dried!,Чеснок высушен!
WildGarlicFresh_FuelCapacity.CardStatName,Temperature,Температура
WildGarlicFresh_Progress.CardStatName,Growth,Рост
WildGarlicFresh_SpecialDurability1.CardStatName,Cook,Готовить
WildGarlicFresh_SpecialDurability2.CardStatName,Quality,Качество
WildGarlicFresh_DismantleActions[0].ActionName,Eat,Есть
FishScraps_CardName,Fish Scraps,Рыбные Остатки
FishScraps_CardDescription,"Remnants of fish processing, useful as bait or fertilizer.","Остатки от обработки рыбы, полезны как приманка или удобрение."
FishScraps_DismantleActions[0].ActionName,Eat Scraps,Есть Остатки
FishScrapsCooked_CardName,Cooked Fish Scraps,Приготовленные Рыбные Остатки
FishScrapsCooked_CardDescription,Oh well... it's something. Can still use it as bait.,Ну что ж... это что-то. Все еще можно использовать как приманку.
FishScrapsCooked_DismantleActions[0].ActionName,Eat Scraps,Есть Остатки
AcornFlatBread_CardName,Acorn Flatbread,Желудевый Лепешка
AcornFlatBread_CardDescription,Good source of calories. Can also be used as a plate.,Хороший источник калорий. Также может использоваться как тарелка.
AcornFlatBread_FuelCapacity.CardStatName,Temperature,Температура
AcornFlatBread_SpecialDurability1.CardStatName,Burned,Сгорело
AcornFlatBread_SpecialDurability2.CardStatName,Quality,Качество
AcornFlatBread_DismantleActions[0].ActionName,Eat,Есть
AcornFlatBread_GroupInventoryActions[0].ActionName,Eat All,Съесть Все
AcornsRoasted_CardName,Roasted Acorns,Жареные Желуди
AcornsRoasted_CardDescription,Good source of calories. Ready to eat.,Хороший источник калорий. Готовы к употреблению.
AcornsRoasted_FuelCapacity.CardStatName,Temperature,Температура
AcornsRoasted_SpecialDurability1.CardStatName,Burned,Сгорело
AcornsRoasted_SpecialDurability2.CardStatName,Quality,Качество
AcornsRoasted_DismantleActions[0].ActionName,Eat,Есть
AppleWeedDried_CardName,Dry Appleweed,Сушеный Яблоковид
AppleWeedDried_CardDescription,"Boosts wellbeing, immune system, energy and appetite while reducing nausea and diarrhoea.\n\nCan be ground into powder to enhance its effects.","Улучшает самочувствие, иммунную систему, энергию и аппетит, снижая тошноту и диарею.\n\nМожно измельчить в порошок для усиления эффекта."
AppleWeedDried_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Найдено:</b> Поляны.\n\n<b>Требования к росту:</b> Средняя кислотность, средняя влажность, среднее до высокого содержание питательных веществ.\n\n<b>Преимущества:</b> Усилитель иммунной системы, стимулятор, противорвотное средство, усилитель аппетита."
AppleWeedDried_SpecialDurability1.CardStatName,Burned,Сгорело
AppleWeedDried_SpecialDurability2.CardStatName,Quality,Качество
AppleWeedDried_CardInteractions[0].ActionName,Soak,Замачивание
AppleWeedDried_CardInteractions[2].ActionName,Grind,Измельчение
BillberriesDried_CardName,Dried Billberries,Сушеная Черника
BillberriesDried_FuelCapacity.CardStatName,Temperature,Температура
BillberriesDried_SpecialDurability1.CardStatName,Burned,Сгорело
BillberriesDried_SpecialDurability2.CardStatName,Quality,Качество
BillberriesDried_DismantleActions[0].ActionName,Eat,Есть
BillberriesFermented_CardName,Fermented Billberries,Ферментированная Черника
BillberriesFermented_CardDescription,Tasty and nutritious berry spread.,Вкусная и питательная ягодная паста.
BillberriesFermented_FuelCapacity.CardStatName,Temperature,Температура
BillberriesFermented_SpecialDurability1.CardStatName,Burned,Сгорело
BillberriesFermented_SpecialDurability2.CardStatName,Quality,Качество
BillberriesFermented_DismantleActions[0].ActionName,Eat,Есть
BillberriesRoasted_CardName,Roasted Billberries,Жареная Черника
BillberriesRoasted_CardDescription,Tasty and nutritious berries.,Вкусные и питательные ягоды.
BillberriesRoasted_UsageDurability.CardStatName,Drying,Сушка
BillberriesRoasted_UsageDurability.OnFull.ActionDescription,Billberries dried!,Черника высушена!
BillberriesRoasted_FuelCapacity.CardStatName,Temperature,Температура
BillberriesRoasted_SpecialDurability1.CardStatName,Burned,Сгорело
BillberriesRoasted_SpecialDurability2.CardStatName,Quality,Качество
BillberriesRoasted_DismantleActions[0].ActionName,Eat,Съесть
BirdMeatCooked_CardName,Cooked Bird Meat,Приготовленное Птичье Мясо
BirdMeatCooked_CardDescription,Tasty and nutritious.,Вкусное и питательное.
BirdMeatCooked_UsageDurability.CardStatName,Drying,Сушка
BirdMeatCooked_UsageDurability.OnFull.ActionDescription,Bird Meat dried!,Птичье Мясо высушено!
BirdMeatCooked_FuelCapacity.CardStatName,Temperature,Температура
BirdMeatCooked_SpecialDurability1.CardStatName,Burned,Сгорело
BirdMeatCooked_SpecialDurability2.CardStatName,Quality,Качество
BirdMeatCooked_SpecialDurability4.CardStatName,Boil,Варить
BirdMeatCooked_DismantleActions[0].ActionName,Eat,Съесть
BirdMeatDried_CardName,Dried Bird Meat,Высушенное Птичье Мясо
BirdMeatDried_CardDescription,Tasty and nutritious.,Вкусное и питательное.
BirdMeatDried_FuelCapacity.CardStatName,Temperature,Температура
BirdMeatDried_SpecialDurability1.CardStatName,Burned,Сгорело
BirdMeatDried_SpecialDurability2.CardStatName,Quality,Качество
BirdMeatDried_SpecialDurability4.CardStatName,Boil,Варить
BirdMeatDried_DismantleActions[0].ActionName,Eat,Съесть
EggChickenCooked_CardName,Roasted Egg,Жареное Яйцо
EggChickenCooked_CardDescription,A tasty egg.,Вкусное яйцо.
EggChickenCooked_FuelCapacity.CardStatName,Temperature,Температура
EggChickenCooked_SpecialDurability1.CardStatName,Burned,Сгорело
EggChickenCooked_SpecialDurability2.CardStatName,Quality,Качество
EggChickenCooked_DismantleActions[0].ActionName,Eat,Съесть
EggPartridgeCooked_CardName,Roasted Egg,Жареное Яйцо
EggPartridgeCooked_CardDescription,A tasty egg.,Вкусное яйцо.
EggPartridgeCooked_FuelCapacity.CardStatName,Temperature,Температура
EggPartridgeCooked_SpecialDurability1.CardStatName,Burned,Сгорело
EggPartridgeCooked_SpecialDurability2.CardStatName,Quality,Качество
EggPartridgeCooked_DismantleActions[0].ActionName,Eat,Съесть
FairyweedDried_CardName,Dry Fairyweed,Сухой Фейрит
FairyweedDried_CardDescription,"Lowers fever, pain, stress and wakefulness, while slightly altering your mind state.\n\nCan be dried to enhance its effects.","Снижает жар, боль, стресс и бодрствование, слегка изменяя состояние вашего разума.\n\nМожно высушить для усиления эффектов."
FairyweedDried_CardHelpSection,"<b>Found:</b> Oaken Groves.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Analgesic, Antipyretic, Sedative, Anxiolytic, Psychoactive.","<b>Найдено:</b> Дубовые Рощи.\n\n<b>Требования к росту:</b> Средняя Кислотность, Средняя Гидратация, Средние до Высоких Питательные вещества.\n\n<b>Преимущества:</b> Анальгетик, Жаропонижающее, Седативное, Анксиолитик, Психоактивное."
FairyweedDried_SpecialDurability1.CardStatName,Burned,Сгорело
FairyweedDried_SpecialDurability2.CardStatName,Quality,Качество
FairyweedDried_CardInteractions[0].ActionName,Soak,Замочить
FairyweedDried_CardInteractions[2].ActionName,Grind,Измельчить
FirerootDried_CardName,Dried Fireroot,Высушенный Огнекорень
FirerootDried_CardDescription,"Increases body temperature, boosts immune system, stamina and alertness. Slightly toxic.\n\nCan be ground to enhance its effects.","Повышает температуру тела, укрепляет иммунную систему, выносливость и бдительность. Слегка токсичен.\n\nМожно измельчить для усиления эффектов."
FirerootDried_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Найдено:</b> Менее Гидратированные Области.\n\n<b>Требования к росту:</b> Средняя Кислотность, Низкая до Средней Гидратация, Средние до Высоких Питательные вещества.\n\n<b>Преимущества:</b> Усилитель Блюд, Укрепитель Иммунной Системы, Стимулятор, повышает Температуру Тела, вызывает Трезвость, Желудочно-кишечный Раздражитель, Инсектицид."
FirerootDried_FuelCapacity.CardStatName,Temperature,Температура
FirerootDried_SpecialDurability1.CardStatName,Burned,Сгорело
FirerootDried_SpecialDurability2.CardStatName,Quality,Качество
FirerootDried_CardInteractions[0].ActionName,Soak,Замочить
FirerootDried_CardInteractions[1].ActionName,Grind,Измельчить
FirerootDried_DismantleActions[0].ActionName,Eat,Съесть
FirerootRoasted_CardName,Roasted Fireroot,Жареный Огнекорень
FirerootRoasted_CardDescription,"Increases body temperature, boosts immune system, stamina and alertness. Slightly toxic.","Повышает температуру тела, укрепляет иммунную систему, выносливость и бдительность. Слегка токсичен."
FirerootRoasted_CardHelpSection,"<b>Found:</b> Less Hydrated Areas.\n\n<b>Growth Needs:</b> Mid Acidity, Low to Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Meal Enhancer, Immune System Booster, Stimulant, raises  Body Temperature, induces Sobriety, Gastrointestinal Irritant, Insecticide.","<b>Найдено:</b> Менее увлажненные области.\n\n<b>Требования к росту:</b> Средняя кислотность, Низкая до средней увлажненность, Среднее до высокое содержание питательных веществ.\n\n<b>Преимущества:</b> Усилитель блюд, Усилитель иммунной системы, Стимулянт, повышает температуру тела, вызывает трезвость, раздражитель желудочно-кишечного тракта, инсектицид."
FirerootRoasted_UsageDurability.CardStatName,Drying,Сушка
FirerootRoasted_UsageDurability.OnFull.ActionDescription,Fireroot dried!,Огнекорень высушен!
FirerootRoasted_FuelCapacity.CardStatName,Temperature,Температура
FirerootRoasted_SpecialDurability1.CardStatName,Burned,Сгорел
FirerootRoasted_SpecialDurability2.CardStatName,Quality,Качество
FirerootRoasted_DismantleActions[0].ActionName,Eat,Есть
FishMeatCooked_CardName,Cooked Fish,Приготовленная рыба
FishMeatCooked_CardDescription,Tasty and nutritious.\n\nCan be dried to last longer.,"Вкусная и питательная.\n\nМожно высушить, чтобы дольше сохранялась."
FishMeatCooked_UsageDurability.CardStatName,Drying,Сушка
FishMeatCooked_UsageDurability.OnFull.ActionDescription,Fish Meat dried!,Рыбное мясо высушено!
FishMeatCooked_FuelCapacity.CardStatName,Temperature,Температура
FishMeatCooked_SpecialDurability1.CardStatName,Burned,Сгорел
FishMeatCooked_SpecialDurability2.CardStatName,Quality,Качество
FishMeatCooked_SpecialDurability4.CardStatName,Boil,Кипятить
FishMeatCooked_DismantleActions[0].ActionName,Eat,Есть
FishMeatDried_CardName,Dried Fish,Сушеная рыба
FishMeatDried_CardDescription,Tasty and nutritious.,Вкусная и питательная.
FishMeatDried_FuelCapacity.CardStatName,Temperature,Температура
FishMeatDried_SpecialDurability1.CardStatName,Burned,Сгорел
FishMeatDried_SpecialDurability2.CardStatName,Quality,Качество
FishMeatDried_SpecialDurability4.CardStatName,Boil,Кипятить
FishMeatDried_DismantleActions[0].ActionName,Eat,Есть
ForestCapsCooked_CardName,Cooked Forest Caps,Приготовленные лесные шляпки
