MORE_THAN_STRONG_FLAVOUR,Extremely {0},Чрезвычайно {0}
ClearingPine_PineClearing_OnStatsChangeActions[2].ActionName,Create Birch Tree,Создать березу
ClearingPine_PineClearing_DismantleActions[0].ActionName,Forage,Корм
ClearingPine_PineClearing_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
ClearingPine_PineClearing_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
ClearingPine_PineClearing_DismantleActions[1].ActionName,Clear,Зачистить
ClearingPine_PineClearing_DismantleActions[1].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
ClearingPine_PineClearing_DismantleActions[2].ActionName,Clear,Зачистить
ClearingPine_PineClearing_DismantleActions[2].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
ClearingPine_PineClearing_DismantleActions[3].ActionName,East,Восток
ClearingPine_PineClearing_DismantleActions[3].FadeMessage,Travelling East...,Путешествие на Восток...
ClearingPine_PineClearing_DismantleActions[4].ActionName,South,Юг
ClearingPine_PineClearing_DismantleActions[4].FadeMessage,Travelling South...,Путешествие на Юг...
DeathCrack_DeathChamberQWR_CardName,Death Chamber,Камера смерти
DeathCrack_DeathChamberQWR_SpoilageTime.CardStatName,Filthiness,Грязь
DeathCrack_DeathChamberQWR_CardInteractions[0].ActionName,Clean,Чистота
DeathCrack_DeathChamberQWR_DismantleActions[0].ActionName,West,Запад
DeathCrack_DeathChamberQWR_DismantleActions[0].FadeMessage,Going West...,Идем на Запад...
DeathCrack_EntranceTunnelQWR_CardName,Entrance Tunnel,Входной туннель
DeathCrack_EntranceTunnelQWR_SpoilageTime.CardStatName,Filthiness,Грязь
DeathCrack_EntranceTunnelQWR_CardInteractions[0].ActionName,Clean,Чистота
DeathCrack_EntranceTunnelQWR_DismantleActions[0].ActionName,East,Восток
DeathCrack_EntranceTunnelQWR_DismantleActions[0].FadeMessage,Going East...,Идем на восток...
DeathCrack_EntranceTunnelQWR_DismantleActions[1].ActionName,Exit,Выход
DeathCrack_EntranceTunnelQWR_DismantleActions[1].FadeMessage,Exiting the Cave...,Выход из пещеры...
DeathCrack_OuterChamberQWR_CardName,Outer Chamber,Внешняя Камера
DeathCrack_OuterChamberQWR_SpoilageTime.CardStatName,Filthiness,Грязь
DeathCrack_OuterChamberQWR_CardInteractions[0].ActionName,Clean,Чистота
DeathCrack_OuterChamberQWR_DismantleActions[0].ActionName,East,Восток
DeathCrack_OuterChamberQWR_DismantleActions[0].FadeMessage,Going East...,Идем на Восток..
DeathCrack_OuterChamberQWR_DismantleActions[1].ActionName,West,Запад
DeathCrack_OuterChamberQWR_DismantleActions[1].FadeMessage,Going West...,Идем на Запад...
GroveOak_GreenGrove_CardName,Green Grove,Зеленая Роща
GroveOak_GreenGrove_CardHelpSection,"<b>Oak Grove:\n</b>\n\n<b>Conditions:</b> -\n\n<b>Flora:</b> Oaks, Healer's Moss, Fireroot, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Squirrels, Foxes. ","<b>Дубовая Роща:\n</b>\n\n<b>Условия:</b> -\n\n<b>Флора:</b> Дубы, Лечебный мох, Огнекорень, Феечная трава, Весенние ягоды (весной), Желуди (осенью), Лесные Шляпки.\n\n<b>Фауна:</b> Белки, Лисы. "
GroveOak_GreenGrove_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_GreenGrove_SpecialDurability1.OnFull.ActionName,Common,Обычные
GroveOak_GreenGrove_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_GreenGrove_SpecialDurability2.OnFull.ActionName,Uncommon,Необычные
GroveOak_GreenGrove_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_GreenGrove_SpecialDurability3.OnFull.ActionName,Rare,Редкие
GroveOak_GreenGrove_SpecialDurability4.OnFull.ActionName,Epic,Эпические
GroveOak_GreenGrove_CardInteractions[0].ActionName,Chop Wood,Рубить Дрова
GroveOak_GreenGrove_CardInteractions[1].ActionName,Chop Wood,Рубить Дрова
GroveOak_GreenGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно древесины в этой области.
GroveOak_GreenGrove_CardInteractions[2].ActionName,Shovel Snow,Чистить Снег
GroveOak_GreenGrove_CardInteractions[3].ActionName,Shovel Snow,Чистить Снег
GroveOak_GreenGrove_DismantleActions[0].ActionName,Forage,Собирать
GroveOak_GreenGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_GreenGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_GreenGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_GreenGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_GreenGrove_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_GreenGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_GreenGrove_DismantleActions[3].ActionName,West,Запад
GroveOak_GreenGrove_DismantleActions[3].FadeMessage,Travelling West...,Путешествие на запад...
GroveOak_GreenGrove_DismantleActions[4].ActionName,East,Восток
GroveOak_GreenGrove_DismantleActions[4].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_MossyGrove_CardName,Mossy Grove,Мшистая роща
GroveOak_MossyGrove_CardHelpSection,"<b>Oak Grove, Wetlands:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Oaks, Willows, Healer's Moss, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Frogs, Squirrels. ","<b>Дубовая Роща, Влажные земли:\n</b>\n\n<b>Условия:</b> Кислая почва.\n\n<b>Флора:</b> Дубы, Ивы, Лечебный мох, Феечная трава, Весенние ягоды (весной), Желуди (осенью), Лесные Шляпки.\n\n<b>Фауна:</b> Лягушки, Белки. "
GroveOak_MossyGrove_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_MossyGrove_SpecialDurability1.OnFull.ActionName,Common,Обычные
GroveOak_MossyGrove_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_MossyGrove_SpecialDurability2.OnFull.ActionName,Uncommon,Необычные
GroveOak_MossyGrove_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_MossyGrove_SpecialDurability3.OnFull.ActionName,Rare,Редкие
GroveOak_MossyGrove_SpecialDurability4.OnFull.ActionName,Epic,Эпические
GroveOak_MossyGrove_CardInteractions[0].ActionName,Chop Wood,Рубить дрова
GroveOak_MossyGrove_CardInteractions[1].ActionName,Chop Wood,Рубить дрова
GroveOak_MossyGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно древесины в этой области.
GroveOak_MossyGrove_CardInteractions[2].ActionName,Shovel Snow,Чистить снег
GroveOak_MossyGrove_CardInteractions[3].ActionName,Shovel Snow,Чистить снег
GroveOak_MossyGrove_OnStatsChangeActions[2].ActionName,Create Willow Tree,Создать ивовое дерево
GroveOak_MossyGrove_DismantleActions[0].ActionName,Forage,Фураж
GroveOak_MossyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_MossyGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_MossyGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_MossyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_MossyGrove_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_MossyGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_MossyGrove_DismantleActions[3].ActionName,West,Запад
GroveOak_MossyGrove_DismantleActions[3].FadeMessage,Travelling West...,Путешествие на запад...
GroveOak_MossyGrove_DismantleActions[4].ActionName,East,Восток
GroveOak_MossyGrove_DismantleActions[4].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_MuddyGrove_CardName,Muddy Grove,Грязная Роща
GroveOak_MuddyGrove_CardHelpSection,"<b>Oak Grove, Wetlands:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Oaks, Healer's Moss, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Frogs, Squirrels, Boars, Wolves. ","<b>Дубовая Роща, Болотистая местность:\n</b>\n\n<b>Условия:</b> Кислая почва.\n\n<b>Флора:</b> Дубы, Лечебный мох, Фейская трава, Весенние ягоды (весна), Желуди (осень), Лесные Шляпки.\n\n<b>Фауна:</b> Лягушки, Белки, Кабаны, Волки. "
GroveOak_MuddyGrove_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_MuddyGrove_SpecialDurability1.OnFull.ActionName,Common,Обычные
GroveOak_MuddyGrove_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_MuddyGrove_SpecialDurability2.OnFull.ActionName,Uncommon,Необычные
GroveOak_MuddyGrove_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_MuddyGrove_SpecialDurability3.OnFull.ActionName,Rare,Редкие
GroveOak_MuddyGrove_SpecialDurability4.OnFull.ActionName,Epic,Эпические
GroveOak_MuddyGrove_CardInteractions[0].ActionName,Chop Wood,Рубить Дерево
GroveOak_MuddyGrove_CardInteractions[1].ActionName,Chop Wood,Рубить Дерево
GroveOak_MuddyGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно древесины в этом районе.
GroveOak_MuddyGrove_CardInteractions[2].ActionName,Shovel Snow,Чистить Снег
GroveOak_MuddyGrove_CardInteractions[3].ActionName,Shovel Snow,Чистить Снег
GroveOak_MuddyGrove_DismantleActions[0].ActionName,Forage,Фураж
GroveOak_MuddyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_MuddyGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_MuddyGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_MuddyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_MuddyGrove_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_MuddyGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_MuddyGrove_DismantleActions[3].ActionName,West,Запад
GroveOak_MuddyGrove_DismantleActions[3].FadeMessage,Travelling West...,Путешествие на запад...
GroveOak_MuddyGrove_DismantleActions[4].ActionName,East,Восток
GroveOak_MuddyGrove_DismantleActions[4].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_MuddyGrove_DismantleActions[5].ActionName,North,Север
GroveOak_MuddyGrove_DismantleActions[5].FadeMessage,Travelling North...,Путешествие на север...
GroveOak_MuddyGrove_DismantleActions[6].ActionName,South,Юг
GroveOak_MuddyGrove_DismantleActions[6].FadeMessage,Travelling South...,Путешествие на юг...
GroveOak_MossyStone_CardName,Mysterious Grove,Таинственная Роща
GroveOak_MysteriousGrove_CardHelpSection,"<b>Oak Grove, Wetlands:\n</b>\n\n<b>Conditions:</b> Acidic soil.\n\n<b>Flora:</b> Oaks, Healer's Moss, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Frogs, Squirrels, Boars, Wolves. ","<b>Дубовая Роща, Болотистая местность:\n</b>\n\n<b>Условия:</b> Кислая почва.\n\n<b>Флора:</b> Дубы, Лечебный мох, Фейская трава, Весенние ягоды (весна), Желуди (осень), Лесные Шляпки.\n\n<b>Фауна:</b> Лягушки, Белки, Кабаны, Волки. "
GroveOak_MossyStone_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_MossyStone_SpecialDurability1.OnFull.ActionName,Common,Обычные
GroveOak_MossyStone_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_MossyStone_SpecialDurability2.OnFull.ActionName,Uncommon,Необычные
GroveOak_MossyStone_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_MossyStone_SpecialDurability3.OnFull.ActionName,Rare,Редкие
GroveOak_MossyStone_SpecialDurability4.OnFull.ActionName,Epic,Эпические
GroveOak_MysteriousGrove_CardInteractions[0].ActionName,Chop Wood,Рубить Дерево
GroveOak_MysteriousGrove_CardInteractions[1].ActionName,Chop Wood,Рубить дрова
GroveOak_MysteriousGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно древесины в этом районе.
GroveOak_MysteriousGrove_CardInteractions[2].ActionName,Shovel Snow,Чистить снег
GroveOak_MysteriousGrove_CardInteractions[3].ActionName,Shovel Snow,Чистить снег
GroveOak_MossyStone_DismantleActions[0].ActionName,Forage,Собирать
GroveOak_MossyStone_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_MossyStone_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_MysteriousGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_MysteriousGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_MossyStone_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_MossyStone_DismantleActions[2].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_MossyStone_DismantleActions[3].ActionName,West,Запад
GroveOak_MossyStone_DismantleActions[3].FadeMessage,Travelling West...,Путешествие на запад...
GroveOak_MossyStone_DismantleActions[4].ActionName,East,Восток
GroveOak_MossyStone_DismantleActions[4].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_MossyStone_DismantleActions[5].ActionName,South,Юг
GroveOak_MossyStone_DismantleActions[5].FadeMessage,Travelling South...,Путешествие на юг...
GroveOak_OakenGrove_CardName,Oaken Grove,Дубовая Роща
GroveOak_OakenGrove_CardHelpSection,"<b>Oak Grove:\n</b>\n\n<b>Conditions:</b> -\n\n<b>Flora:</b> Oaks, Healer's Moss, Fireroot, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Squirrels, Foxes, Badgers, Does, Wolves. ","<b>Дубовая Роща:\n</b>\n\n<b>Условия:</b> -\n\n<b>Флора:</b> Дубы, Лечебный мох, Огнекорень, Фейская трава, Весенние ягоды (весной), Желуди (осенью), Лесные Шляпки.\n\n<b>Фауна:</b> Белки, Лисы, Барсуки, Лани, Волки. "
GroveOak_OakenGrove_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_OakenGrove_SpecialDurability1.OnFull.ActionName,Common,Обычные
GroveOak_OakenGrove_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_OakenGrove_SpecialDurability2.OnFull.ActionName,Uncommon,Необычные
GroveOak_OakenGrove_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_OakenGrove_SpecialDurability3.OnFull.ActionName,Rare,Редкое
GroveOak_OakenGrove_SpecialDurability4.OnFull.ActionName,Epic,Эпическое
GroveOak_OakenGrove_CardInteractions[0].ActionName,Chop Wood,Рубить дрова
GroveOak_OakenGrove_CardInteractions[1].ActionName,Chop Wood,Рубить дрова
GroveOak_OakenGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно древесины в этом районе.
GroveOak_OakenGrove_CardInteractions[2].ActionName,Shovel Snow,Чистить снег
GroveOak_OakenGrove_CardInteractions[3].ActionName,Shovel Snow,Чистить снег
GroveOak_OakenGrove_DismantleActions[0].ActionName,Forage,Собирать
GroveOak_OakenGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_OakenGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_OakenGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_OakenGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_OakenGrove_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_OakenGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,"Соберите валежник, камни и всё, что может пригодиться."
GroveOak_OakenGrove_DismantleActions[3].ActionName,West,Запад
GroveOak_OakenGrove_DismantleActions[3].FadeMessage,Travelling West...,Путешествие на запад...
GroveOak_OakenGrove_DismantleActions[4].ActionName,East,Восток
GroveOak_OakenGrove_DismantleActions[4].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_OakenGrove_DismantleActions[5].ActionName,North,Север
GroveOak_OakenGrove_DismantleActions[5].FadeMessage,Travelling North...,Путешествие на север...
GroveOak_OakenGrove_DismantleActions[6].ActionName,South,Юг
GroveOak_OakenGrove_DismantleActions[6].FadeMessage,Travelling South...,Путешествие на юг...
GroveOak_OldStump_CardName,Old Grove,Старая Роща
GroveOak_OldGrove_CardHelpSection,"<b>Oak Grove:\n</b>\n\n<b>Conditions:</b> -\n\n<b>Flora:</b> Oaks, Healer's Moss, Fireroot, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Squirrels, Wolves. ","<b>Дубовая Роща:\n</b>\n\n<b>Условия:</b> -\n\n<b>Флора:</b> Дубы, Лечебный мох, Огнекорень, Фейская трава, Весенние ягоды (весной), Желуди (осенью), Лесные Шляпки.\n\n<b>Фауна:</b> Белки, Волки. "
GroveOak_OldStump_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_OldStump_SpecialDurability1.OnFull.ActionName,Common,Обычные
GroveOak_OldStump_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_OldStump_SpecialDurability2.OnFull.ActionName,Uncommon,Необычный
GroveOak_OldStump_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_OldStump_SpecialDurability3.OnFull.ActionName,Rare,Редкий
GroveOak_OldStump_SpecialDurability4.OnFull.ActionName,Epic,Эпический
GroveOak_OldGrove_CardInteractions[0].ActionName,Chop Wood,Рубить Дерево
GroveOak_OldGrove_CardInteractions[1].ActionName,Chop Wood,Рубить Дерево
GroveOak_OldGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно дерева в этой области.
GroveOak_OldGrove_CardInteractions[2].ActionName,Shovel Snow,Убирать Снег
GroveOak_OldGrove_CardInteractions[3].ActionName,Shovel Snow,Убирать Снег
GroveOak_OldStump_DismantleActions[0].ActionName,Forage,Собирать
GroveOak_OldStump_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_OldStump_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_OldGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_OldGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_OldStump_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_OldStump_DismantleActions[2].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_OldStump_DismantleActions[3].ActionName,East,Восток
GroveOak_OldStump_DismantleActions[3].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_OldStump_DismantleActions[4].ActionName,North,Север
GroveOak_OldStump_DismantleActions[4].FadeMessage,Travelling North...,Путешествие на север...
GroveOak_GreatOak_CardName,Sacred Grove,Священная Роща
GroveOak_SacredGrove_CardHelpSection,"<b>Oak Grove:\n</b>\n\n<b>Conditions:</b> -\n\n<b>Flora:</b> Oaks, Healer's Moss, Fireroot, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Squirrels. ","<b>Дубовая Роща:\n</b>\n\n<b>Условия:</b> -\n\n<b>Флора:</b> Дубы, Лечебный Мох, Огнекорень, Фейская Трава, Весенние Ягоды (весна), Желуди (осень), Лесные Шляпки.\n\n<b>Фауна:</b> Белки. "
GroveOak_GreatOak_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_GreatOak_SpecialDurability1.OnFull.ActionName,Common,Обычный
GroveOak_GreatOak_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_GreatOak_SpecialDurability2.OnFull.ActionName,Uncommon,Необычный
GroveOak_GreatOak_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_GreatOak_SpecialDurability3.OnFull.ActionName,Rare,Редкий
GroveOak_GreatOak_SpecialDurability4.OnFull.ActionName,Epic,Эпический
GroveOak_SacredGrove_CardInteractions[0].ActionName,Chop Wood,Рубить Дерево
GroveOak_SacredGrove_CardInteractions[1].ActionName,Chop Wood,Рубить Дерево
GroveOak_SacredGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно дерева в этой области.
GroveOak_SacredGrove_CardInteractions[2].ActionName,Shovel Snow,Убирать Снег
GroveOak_SacredGrove_CardInteractions[3].ActionName,Shovel Snow,Убирать Снег
GroveOak_GreatOak_DismantleActions[0].ActionName,Forage,Собирать
GroveOak_GreatOak_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_GreatOak_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_SacredGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_SacredGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_GreatOak_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_GreatOak_DismantleActions[2].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_GreatOak_DismantleActions[3].ActionName,West,Запад
GroveOak_GreatOak_DismantleActions[3].FadeMessage,Travelling West...,Путешествие на запад...
GroveOak_GreatOak_DismantleActions[4].ActionName,East,Восток
GroveOak_GreatOak_DismantleActions[4].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_SecretGrove_CardName,Secret Grove,Тайная Роща
GroveOak_SecretGrove_CardHelpSection,"<b>Oak Grove:\n</b>\n\n<b>Conditions:</b>\n\n<b>Flora:</b> Oaks, Healer's Moss, Fireroot, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Squirrels, Does, Stags. ","<b>Дубовая Роща:\n</b>\n\n<b>Условия:</b>\n\n<b>Флора:</b> Дубы, Лечебный Мох, Огнекорень, Фейская Трава, Весенние Ягоды (весна), Желуди (осень), Лесные Шляпки.\n\n<b>Фауна:</b> Белки, Лани, Олени. "
GroveOak_SecretGrove_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_SecretGrove_SpecialDurability1.OnFull.ActionName,Common,Обычный
GroveOak_SecretGrove_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_SecretGrove_SpecialDurability2.OnFull.ActionName,Uncommon,Необычный
GroveOak_SecretGrove_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_SecretGrove_SpecialDurability3.OnFull.ActionName,Rare,Редкий
GroveOak_SecretGrove_SpecialDurability4.OnFull.ActionName,Epic,Эпический
GroveOak_SecretGrove_CardInteractions[0].ActionName,Chop Wood,Рубить Дерево
GroveOak_SecretGrove_CardInteractions[1].ActionName,Chop Wood,Рубить Дерево
GroveOak_SecretGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно дерева в этой области.
GroveOak_SecretGrove_CardInteractions[2].ActionName,Shovel Snow,Чистить Снег
GroveOak_SecretGrove_CardInteractions[3].ActionName,Shovel Snow,Чистить Снег
GroveOak_SecretGrove_DismantleActions[0].ActionName,Forage,Собирать
GroveOak_SecretGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_SecretGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_SecretGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_SecretGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_SecretGrove_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_SecretGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_SecretGrove_DismantleActions[3].ActionName,East,Восток
GroveOak_SecretGrove_DismantleActions[3].FadeMessage,Travelling East...,Путешествие на восток...
GroveOak_SecretGrove_DismantleActions[4].ActionName,Climb,Залезть
GroveOak_SecretGrove_DismantleActions[4].ActionDescription,... to Cliff Thicket,... к Скальному Зарослю
GroveOak_ShadyGrove_CardName,Shady Grove,Тенистая Роща
GroveOak_ShadyGrove_CardHelpSection,"<b>Oak Grove:\n</b>\n\n<b>Conditions:</b>\n\n<b>Flora:</b> Oaks, Healer's Moss, Fireroot, Fairyweed, Springberries (spring), Acorns (autumn), Forest Caps.\n\n<b>Fauna:</b> Squirrels, Foxes, Partridges, Does, Stags, Wolves. ","<b>Дубовая Роща:\n</b>\n\n<b>Условия:</b>\n\n<b>Флора:</b> Дубы, Лечебный мох, Огнекорень, Фейская трава, Весенние ягоды (весна), Желуди (осень), Лесные Шляпки.\n\n<b>Фауна:</b> Белки, Лисы, Куропатки, Лани, Олени, Волки. "
GroveOak_ShadyGrove_SpecialDurability1.CardStatName,Trees,Деревья
GroveOak_ShadyGrove_SpecialDurability1.OnFull.ActionName,Common,Обычный
GroveOak_ShadyGrove_SpecialDurability2.CardStatName,Overgrowth,Заросли
GroveOak_ShadyGrove_SpecialDurability2.OnFull.ActionName,Uncommon,Необычный
GroveOak_ShadyGrove_SpecialDurability3.CardStatName,Foraging,Собирательство
GroveOak_ShadyGrove_SpecialDurability3.OnFull.ActionName,Rare,Редкий
GroveOak_ShadyGrove_SpecialDurability4.OnFull.ActionName,Epic,Эпический
GroveOak_ShadyGrove_CardInteractions[0].ActionName,Chop Wood,Рубить Дерево
GroveOak_ShadyGrove_CardInteractions[1].ActionName,Chop Wood,Рубить Дерево
GroveOak_ShadyGrove_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Not enough wood in the area.,Недостаточно дерева в этой области.
GroveOak_ShadyGrove_CardInteractions[2].ActionName,Shovel Snow,Чистить Снег
GroveOak_ShadyGrove_CardInteractions[3].ActionName,Shovel Snow,Чистить Снег
GroveOak_ShadyGrove_DismantleActions[0].ActionName,Forage,Собирать
GroveOak_ShadyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,Есть шанс получить еду и травы.
GroveOak_ShadyGrove_DismantleActions[0].RequiredReceivingDurabilities.FailMessage,There's nothing else to forage here.,Здесь больше нечего собирать.
GroveOak_ShadyGrove_DismantleActions[1].ActionName,Clear,Зачистить
GroveOak_ShadyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_ShadyGrove_DismantleActions[2].ActionName,Clear,Зачистить
GroveOak_ShadyGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,Дает вам дерево и листья.
GroveOak_ShadyGrove_DismantleActions[3].ActionName,West,Запад
GroveOak_ShadyGrove_DismantleActions[3].FadeMessage,Travelling West...,Путешествие на запад...
